id,name,device type ,ethernet ports,wifi ports,bandwidth (Mbps),bandwidth 6ghz,bandwidth 5ghz,bandwidth 2.4ghz,Supported Protocols,Max Devices Supported,PoE Support,VLAN Support,Security Features,Coverage (m^2),Frequency,Power Consumption,Latency (s),manu,price (usd),url,img url
ER8411 ,ER8411 Omada VPN Gateway with 10G Ports,Gateway,"2× 10GE SFP+ Ports, 1× 1GE SFP WAN/LAN Ports, 8× 1GE RJ45 WAN/LAN Ports",,"NAT: 9449.26 Mbps Download, 9445.82 Mbps Upload",,,,"IEEE 802.3, 802.3u, 802.3ab, 802.3z, 802.3x, 802.1q, TCP/IP, DHCP, ICMP, NAT, VPN (IPSec, PPTP, L2TP, OpenVPN, WireGuard), HTTP/HTTPS, DNS, SNMP","2,300,000 Concurrent Sessions",,802.1Q VLAN,"TCP/UDP/ICMP Flood Defense, URL Filtering, IP-MAC Binding, SSL VPN, IPsec VPN, ARP Inspection, Attack Defense",,,26.36 W (with USB 3.0 connected),,tplink,399.99,https://www.amazon.com/TP-Link-ER8411-Enterprise-Integrated-Protection/dp/B0BK9T1P5F,https://static.tp-link.com/upload/image-line/ER8411_UN_1.0_overview_01_normal_20220617022403i.jpg
ER605 ,ER605 Omada Gigabit VPN Gateway,Gateway,"1 Gigabit WAN port, 2 Gigabit WAN/LAN ports, 2 Gigabit LAN ports",,"NAT: 945.77 Mbps Download, 945.54 Mbps Upload",,,,"IEEE 802.3, 802.3u, 802.3ab, 802.3x, 802.1q, TCP/IP, DHCP, ICMP, NAT, VPN (IPSec, PPTP, L2TP, OpenVPN, WireGuard), HTTP/HTTPS, DNS, SNMP","150,000 Concurrent Sessions",,802.1Q VLAN,"TCP/UDP/ICMP Flood Defense, URL Filtering, IP-MAC Binding, SSL VPN, IPsec VPN, ARP Inspection, Attack Defense",,,7.94 W,,tplink,57.99,https://www.amazon.com/TP-Link-Integrated-Lightening-Protection-TL-R605/dp/B08QTXNWZ1?th=1,https://static.tp-link.com/ER605_UN_1.0_01_normal_1609983075737e.jpg
ER706W ,ER706W Omada Gigabit AX3000 WiFi 6 VPN Gateway,Gateway,"1 Gigabit SFP WAN/LAN Port, 4 Gigabit LAN/WAN Ports","2.4 GHz: 574 Mbps, 5 GHz: 2402 Mbps","2.4 GHz: 574 Mbps, 5 GHz: 2402 Mbps",,,,"IEEE 802.3, 802.3u, 802.3ab, 802.3x, 802.1q, TCP/IP, DHCP, VPN (IPSec, PPTP, L2TP, OpenVPN, WireGuard, GRE), HTTP/HTTPS, DNS, SNMP","150,000 Concurrent Sessions",,802.1Q VLAN,"DPI, IPS/IDS, URL Filtering, Access Control, Attack Defense, SSL VPN, IPsec VPN",Mesh support for extended Wi-Fi coverage with Omada APs,"2.4 GHz, 5 GHz (Wi-Fi 6)","16.8W (with USB 3.0 connected), 11.8W (without USB 3.0 connected)",,tplink,130,https://www.amazon.com/TP-Link-ER706W-Detachable-Integrated-Protection/dp/B0D2M2TMBC,https://m.media-amazon.com/images/I/41pp3rbkPAL._AC_SX466_.jpg
DR3650 ,DR3650 Omada AX3000 Wi-Fi 6 Gigabit Desktop DSL Gateway ,Gateway,"5 x Gigabit RJ45 Ports (1 x WAN/LAN, 4 x LAN)","2.4 GHz: 574 Mbps, 5 GHz: 2402 Mbps","2.4 GHz: 574 Mbps, 5 GHz: 2402 Mbps",,,,"VDSL2, ADSL2+, ADSL, IPSec, PPTP, L2TP, OpenVPN, WireGuard, GRE, SSL VPN","150,000 Concurrent Sessions",,802.1Q VLAN,"DPI, IPS/IDS, URL Filtering, Access Control, Attack Defense, VPN Support (IPSec, PPTP, L2TP, OpenVPN, WireGuard)",Mesh support for extended Wi-Fi coverage with Omada APs,"2.4 GHz, 5 GHz (Wi-Fi 6)","30.6W (with USB 3.0 connected), 20.6W (without USB 3.0 connected)",,tplink,217,https://inside-tech.co.uk/product/tp-link-dr3650v-omada-ax3000-wi-fi-6-gigabit-desktop-dsl-gateway-dual-band-vdsl2-35b-usb-3-0-voip-support-centralized-management-mesh-technology/,https://static.tp-link.com/upload/image-line/DR3650v_EU_1.0_overview_01_normal_20241022110943d.png
BE550 ,BE9300 Tri-Band Wi-Fi 7 Router,Router,"1× 2.5 Gbps WAN, 4× 2.5 Gbps LAN","6 GHz: 5760 Mbps, 5 GHz: 2880 Mbps, 2.4 GHz: 688 Mbps","6 GHz: 5760 Mbps, 5 GHz: 2880 Mbps, 2.4 GHz: 688 Mbps",,,,"IPv4, IPv6",,,"Tag VLAN, IGMP Proxy, IGMP Snooping, Bridge","SPI Firewall, Access Control, HomeShield (IoT Protection, Malicious Site Blocker, Intrusion Prevention System, DDoS Attack Prevention), VPN support (OpenVPN, PPTP, L2TP, WireGuard)","4 Bedroom Houses, Optimally Positioned 6 Antennas","6 GHz, 5 GHz, 2.4 GHz (Tri-Band Wi-Fi 7)",12V ⎓ 3.3A Power Adapter,,tplink,219,https://www.amazon.com/TP-Link-Tri-Band-Archer-BE550-HomeShield/dp/B0CJSNSVMR?th=1,https://static.tp-link.com/upload/image-line/01_normal_20230719055212y.jpg
BE400,BE6500 Dual Band Wi-Fi 7 Router,Router,"1× 2.5 Gbps WAN, 1× 2.5 Gbps LAN, 3× 1 Gbps LAN","5 GHz: 5764 Mbps, 2.4 GHz: 688 Mbps","5 GHz: 5764 Mbps, 2.4 GHz: 688 Mbps",,,,"IPv4, IPv6",,,"Tag VLAN, IGMP Proxy, IGMP Snooping, Bridge","SPI Firewall, Access Control, HomeShield (IoT Protection, Malicious Site Blocker, Intrusion Prevention System, DDoS Attack Prevention), VPN support (OpenVPN, PPTP, L2TP, WireGuard)","3 Bedroom Houses, 6 Antennas","5 GHz, 2.4 GHz (Dual-Band Wi-Fi 7)",12V ⎓ 2.5A Power Adapter,,tplink,"10,999",https://www.amazon.in/TP-Link-Archer-BE400-Dual-Band-Compatible/dp/B0DJFPX6BW,https://static.tp-link.com/upload/image-line/Archer_BE6500_US_1.0_overview_01_normal_20240704032045r.jpg
TL-WR845N,TP-link N300 WiFi Wireless Router TL-WR845N,Router,"1× 10/100 Mbps WAN Port, 4× 10/100 Mbps LAN Ports",2.4 GHz: 300 Mbps (802.11n),2.4 GHz: 300 Mbps (802.11n),,,,"IPv4, IPv6",,,,"SPI Firewall, Access Control, WEP, WPA, WPA2, WPA/WPA2-Enterprise (802.1x), Guest Network","2 Bedroom Houses, 3 Antennas",2.4 GHz (Wi-Fi 4),9V ⎓ 0.6A Power Adapter,,tplink,"1,059",https://www.amazon.in/TP-Link-TL-WR845N-300Mbps-Wireless-N-Router/dp/B01HGCLUH6,https://static.tp-link.com/TL-WR845N_UN_4.0_01_normal_1524030547272n.jpg
TL-WR802N,300Mbps Wireless N Nano Router,Router,1× 10/100 Mbps WAN/LAN Port,2.4 GHz: 300 Mbps (802.11n),2.4 GHz: 300 Mbps (802.11n),,,,"IPv4, IPv6",,,,"SPI Firewall, Access Control, WEP, WPA, WPA2, WPA/WPA2-Enterprise (802.1x), Guest Network","2 Bedroom Houses, 2 Antennas",2.4 GHz (Wi-Fi 4),5V ⎓ 1A Power Adapter,,tplink,59.49,https://www.amazon.com/TP-Link-Network-TL-WR802N-300Mbps-Wireless/dp/B07V9LSCZZ,https://static.tp-link.com/TL-WR802N-01_1480927860169b.jpg
TL-WR902AC,AC75 Travel Wi-Fi Router,Router,1× 10/100 Mbps WAN/LAN Port,"5 GHz: 433 Mbps (802.11ac), 2.4 GHz: 300 Mbps (802.11n)","5 GHz: 433 Mbps (802.11ac), 2.4 GHz: 300 Mbps (802.11n)",,,,"IPv4, IPv6",,,,"SPI Firewall, Access Control, WEP, WPA, WPA2, Guest Network","2 Bedroom Houses, 2 Antennas",Dual-Band (5 GHz & 2.4 GHz),5V ⎓ 2A Power Adapter,,tplink,39.99,https://www.amazon.com/TP-Link-Wireless-Travel-Router-TL-WR902AC/dp/B01N5RCZQH,https://static.tp-link.com/TL-WR902AC-01_1482226379460g.jpg
CR700,AC1750 Wireless Dual Band DOCSIS 3.0 Cable Modem Router,Modem,"4× 10/100/1000 Mbps RJ45 LAN Ports, 1 Coax Port","2.4 GHz: Up to 450 Mbps (802.11n), 5 GHz: Up to 1300 Mbps (802.11ac)","2.4 GHz: Up to 450 Mbps, 5 GHz: Up to 1300 Mbps",,,,"IPv4, IPv6, DOCSIS 1.0/1.1/2.0/3.0",,,,"NAT Firewall, Access Control, WPA/WPA2, WPA-PSK/WPA2-PSK, Wireless MAC Filtering",,Dual-Band (2.4 GHz & 5 GHz),12VDC/3.5A,,tplink,88.49,https://www.amazon.com/gp/product/B012I96J3W/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B012I96J3W&linkCode=as2&tag=t097f4-20&linkId=cd851030644afdf20237409ab0e30db3,https://static.tp-link.com/res/images/products/Archer_CR700_un_V1_895_68_normal_0_20150217165604.jpg
TC7650,DOCSIS 3.0 High Speed Cable Mode,Modem,1× 10/100/1000 Mbps Ethernet Interface (RJ45),,"Downstream: Up to 1029 Mbps, Upstream: Up to 206 Mbps",,,,"IPv4, IPv6, TCP, UDP, ICMP, ARP",,,,"VPN Passthrough (PPTP, L2TP, IPSec)",,"Downstream: 108 to 1002 MHz, Upstream: 5 to 42 MHz",12VDC/1.5A,,tplink,149.17,https://www.walmart.com/ip/Tp-Link-TC7650-Docsis-3-0-High-speed-Cable-Modem/254396335,https://static.tp-link.com/TC-7650(US)1.0-package_1490690378971v.jpg
FPR-4112,FPR-4112,Firewall,8 x SFP+ on-chassis,,19 Gbps,,,,"IPSec, VPN, AVC","10,000 VPN peers",,Yes,"High Availability, Cisco Security Intelligence, Cisco Malware Defense, URL Filtering, Automated Threat Feeds, Clustering",,,Single 1100W AC,3.5 µs,cisco,"112,721.75",https://networkwarehouse.co.uk/products/cisco-fpr4112-ngfw-k9,https://digitechjsc.net/wp-content/uploads/2022/02/1601460753CISCO-FPR2110-NGFW-K9-9.jpg
FPR-4115,FPR-4115,Firewall,8 x SFP+ on-chassis,,33 Gbps,,,,"IPSec, VPN, AVC","15,000 VPN peers",,Yes,"High Availability, Cisco Security Intelligence, Cisco Malware Defense, URL Filtering, Automated Threat Feeds, Clustering",,,Single 1100W AC,3.5 µs,cisco,"150,297.70",https://networkwarehouse.co.uk/products/cisco-fpr4115-ngfw-k9?_pos=2&_sid=414f0939c&_ss=r,https://netsystem.vn/wp-content/uploads/2022/05/Firepower-4100.webp
FPR-4125,FPR-4125,Firewall,8 x SFP+ on-chassis,,45 Gbps,,,,"IPSec, VPN, AVC","20,000 VPN peers",,Yes,"High Availability, Cisco Security Intelligence, Cisco Malware Defense, URL Filtering, Automated Threat Feeds, Clustering",,,Dual 1100W AC,3.5 µs,cisco,"237,974.90",https://networkwarehouse.co.uk/products/cisco-fpr4125-asa-k9?_pos=2&_sid=91695afe0&_ss=r,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS55NW-Lg9b-0CRcKYcDiHtPG1R0z1M6hefDQ&s
FPR-4145,FPR-4145,Firewall,8 x SFP+ on-chassis,,53 Gbps,,,,"IPSec, VPN, AVC","20,000 VPN peers",,Yes,"High Availability, Cisco Security Intelligence, Cisco Malware Defense, URL Filtering, Automated Threat Feeds, Clustering",,,Dual 1100W AC,3.5 µs,cisco,"313,126.79",https://networkwarehouse.co.uk/products/cisco-fpr4145-asa-k9?_pos=2&_sid=deb6834c4&_ss=r,https://maychuviet.vn/wp-content/uploads/2022/11/Firewall-Cisco-FPR-2110-180x180.png
4461,Cisco 4461,Router,4,,3 Gbps,,,,,,Yes,Yes,,,,158W,,cisco,"32,924.38",https://www.cisco.com/c/en/us/support/routers/4461-integrated-services-router/model.html,https://thegioimang.vn/data/upload/ISR-4451-front-1.jpg
4451,Cisco 4451,Router,4,,2 Gbps,,,,,,Yes,Yes,,,,65W,,cisco,"20,506",https://www.cisco.com/c/en/us/support/routers/4451-x-integrated-services-router-isr/model.html,https://www.cisco.com/c/dam/assets/support/product-images/model/routers-4451-x-integrated-services-router-isr.jpg
4431,Cisco 4431,Router,4,,1 Gbps,,,,,,Yes,Yes,,,,48W,,cisco,"12,331",https://www.cisco.com/c/en/us/support/routers/4441-x-integrated-services-router-isr/model.html,"https://m.media-amazon.com/images/I/41nlm2o3nuL._AC_UF1000,1000_QL80_.jpg"
4351,Cisco 4351,Router,3,,400 Mbps,,,,,,Yes,Yes,,,,42W,,cisco,"9,100",https://www.cisco.com/c/en/us/support/routers/4351-integrated-services-router/model.html?dtid=osscdc000283,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQm7cVpDqIldjorUCgTmwK_zBgtYx-0NOlUrA&s
4331,Cisco 4331/4331-DC,Router,3,,300 Mbps,,,,,,Yes,Yes,,,,36W,,cisco,"3,837",https://www.cisco.com/c/en/us/support/routers/4331-integrated-services-router-isr/model.html?dtid=osscdc000283,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQj80Vv1nV7vR-OsJxWAA0mDE1UVJvaxsSdxg&s
4321,Cisco 4321,Router,2,,100 Mbps,,,,,,Yes,Yes,,,,24W,,cisco,"3,620.00",https://www.cisco.com/c/en/us/support/routers/4321-integrated-services-router/model.html?dtid=osscdc000283,https://abnet.com.vn/upload/images/product_1530325010.jpg
4221-X,Cisco 4221(X),Router,2,,75 Mbps,,,,,,No,No,,,,90W,,cisco,"1,632",https://www.cisco.com/c/en/us/support/routers/4221-integrated-services-router-isr/model.html,https://ciscochinhhang.com/wp-content/uploads/2019/04/CISCO4451.jpg
